,1yrTargetEst,52weekRange,Ask,AvgVol,Beta,Bid,DayRange,EPS,EarningsDate,ExDiv,DivYield,MktCap,Open,PE,Close,Quote,Volume
AAPL,152.06,58.58 - 145.09,122.48 x 800,110690081.0,1.25,122.37 x 2900,122.14 - 124.24,3.69,"Apr 28, 2021 - May 03, 2021","Feb 05, 2021",0.82 (0.66%),2.057T,123.33,33.24,123.39,122.54000091552734,95467142.0
TSLA,621.5,89.28 - 900.40,663.98 x 4000,35586823.0,2.06,663.00 x 3000,657.51 - 677.80,0.64,"Apr 27, 2021 - May 03, 2021",,N/A (N/A),635.577B,675.77,1034.62,670.0,662.1599731445312,28571198.0
